,date,Zipcode,LAT,LNG,transaction_size,job_class,clusterName,logDollars
4945326,2015-12-20,80401,39.718726,-105.236031,<= $100,Not Listed,"Families, Low Density",3.21887582487
14987090,2015-09-04,83338,42.725104,-114.431903,<= $1000,engineer,"Young Kids, Multi-racial, Low Density",5.52146091786
15770202,2016-07-16,13135,43.253687,-76.314375,<= $20,Not Listed,"White, Middle income Single Family",2.99573227355
14301225,2015-03-02,44839,41.380747,-82.55682,<= $100,Not Listed,"White, Middle income Single Family",3.21887582487
7392659,2016-07-31,60473,41.597379,-87.59915,<= $20,retired,Low Income African American,1.38629436112
16436943,2016-06-28,66901,39.560035,-97.638951,<= $100,retired,"White, Middle income Single Family",4.60517018599
5739713,2015-10-06,60657,41.940293,-87.646857,<= $100,Not Listed,Wealthy Urbanites (Renters),4.60517018599
14861366,2016-03-03,03745,43.476437,-72.33413,<= $100,Not Listed,"Suburban, White, Wealthy",3.21887582487
16621114,2016-09-30,45216,39.200917,-84.481754,<= $1000,Not Listed,"Families, Low Density",5.99146454711
14201514,2015-12-23,44833,40.710586,-82.793744,<= $1000,Not Listed,"White, Middle income Single Family",5.29330482472
12786699,2016-08-05,11702,40.650697,-73.262218,<= $100,Not Listed,"Suburban, White, Wealthy",4.24849524205
13791876,2015-07-15,53144,42.622122,-87.920178,<= $20,Not Listed,"Families, Low Density",2.30258509299
3177350,2016-04-03,95618,38.543211,-121.6815,<= $20,Not Listed,"Homeowners, Families",2.99573227355
6399131,2016-07-12,21210,39.359156,-76.632685,<= $100,retired,"Families, Low Density",3.63758615973
1219708,2016-02-04,22102,38.95095,-77.229544,<= $1000,legal,"Homeowners, Families",5.52146091786
824140,2016-01-13,15217,40.430821,-79.920089,<= $1000,retired,"White, Middle income Single Family",6.21460809842
4935299,2016-02-20,80112,39.576926,-104.857826,<= $1000,Not Listed,"Families, Low Density",5.02388052085
16593680,2015-12-17,16130,41.444632,-80.222949,<= $100,Not Listed,"White, Middle income Single Family",4.60517018599
11559036,2015-11-09,46733,40.828228,-84.940039,<= $100,Not Listed,"White, Middle income Single Family",3.21887582487
10690571,2016-06-06,70769,30.30743,-90.940643,<= $1000,Not Listed,"White, Middle income Single Family",5.70378247466
4476358,2015-07-03,22042,38.865024,-77.197125,<= $20,Not Listed,"Homeowners, Families",2.99573227355
2056733,2016-03-30,92821,33.927561,-117.887086,<= $20,Not Listed,"Homeowners, Families",2.99573227355
2390680,2016-06-02,22202,38.856868,-77.051492,<= $100,Not Listed,Wealthy Urbanites (Renters),3.91202300543
16335582,2016-02-19,44904,40.663724,-82.61444,<= $100,retired,"Families, Low Density",3.21887582487
11964847,2015-06-25,33803,28.009358,-81.932662,<= $1000,Not Listed,"Families, Low Density",6.21460809842
176013,2016-07-31,95678,38.76407,-121.287523,<= $1000,Not Listed,"Homeowners, Families",5.37989735354
432012,2015-12-16,38655,34.333217,-89.473309,<= $100,legal,"Families, Low Density",4.60517018599
5132045,2016-06-28,30809,33.55603,-82.170395,<= $20,Not Listed,"Suburban, White, Wealthy",2.30258509299
12942647,2016-08-31,26651,38.334344,-80.887038,<= $100,legal,"White, Middle income Single Family",4.60517018599
11776495,2016-06-25,95497,38.743039,-123.476418,<= $100,Not Listed,"Homeowners, Families",3.295836866
6536801,2016-08-26,94611,37.82935,-122.203507,<= $20,Not Listed,"Homeowners, Families",2.07944154168
11012865,2016-07-04,06605,41.161599,-73.217622,<= $100,Not Listed,"Hispanic, non citizens, low income",3.21887582487
11070017,2016-01-05,33442,26.309175,-80.149813,<= $1000,Not Listed,"Families, Low Density",5.0106352941
15508315,2015-09-23,10709,40.954635,-73.808184,<= $100,Not Listed,"Homeowners, Families",3.78418963392
3591975,2015-09-15,22303,38.79438,-77.078837,<= $1000,Not Listed,Wealthy Urbanites (Renters),5.70378247466
11275651,2016-03-19,33772,27.844208,-82.796854,<= $1000,Not Listed,"White, Middle income Single Family",5.52146091786
13364835,2016-07-31,06614,41.232466,-73.129873,<= $100,Not Listed,"Suburban, White, Wealthy",3.7135720667
12451351,2015-11-26,78261,29.68958,-98.402411,<= $100,Not Listed,"Suburban, White, Wealthy",4.06044301055
10925842,2016-04-17,01062,42.328308,-72.703924,<= $100,Not Listed,"Suburban, White, Wealthy",3.295836866
3271214,2016-01-14,89147,36.112796,-115.280141,<= $100,retired,"Families, Low Density",3.21887582487
11363844,2016-07-25,34990,27.137133,-80.346948,<= $100,Not Listed,"Suburban, White, Wealthy",3.95124371858
5556042,2016-04-11,50014,42.046297,-93.694448,<= $20,Not Listed,"Families, Low Density",2.7080502011
4190397,2015-08-20,60118,42.106259,-88.304383,<= $100,Not Listed,"Suburban, White, Wealthy",4.60517018599
5193543,2016-04-01,70820,30.36507,-91.203973,<= $20,Not Listed,"Families, Low Density",2.7080502011
8884005,2015-11-02,55408,44.940425,-93.292639,<= $100,Not Listed,Wealthy Urbanites (Renters),3.21887582487
6899742,2015-11-09,80111,39.613005,-104.877957,<= $1000,legal,"Suburban, White, Wealthy",6.55108033504
8641991,2015-12-29,80227,39.666287,-105.089746,<= $20,Not Listed,"Families, Low Density",2.7080502011
