,date,Zipcode,LAT,LNG,transaction_size,job_class,clusterName,logSumDollars,predicted,diff,Rank,logDollars
14668615,2016-05-10,03055,42.818645,-71.673354,<= $100,Not Listed,"White, Middle income Single Family",10.9573116584,11.9670115385,100101.353459,23761.0,3.21887582487
10458332,2016-05-22,55114,44.96669,-93.195072,<= $100,Not Listed,Wealthy Urbanites (Renters),14.1146146501,10.9231739578,-1293203.49518,378.0,3.87120101091
389386,2015-12-02,78240,29.52502,-98.606564,<= $100,retired,"Young Kids, Multi-racial, Low Density",11.8563662221,12.1820032459,54264.5916478,23205.0,3.91202300543
9133984,2016-03-16,84103,40.79508,-111.842571,<= $1000,technology,"Families, Low Density",14.2481653211,13.3771876295,-896226.577564,553.0,5.52146091786
8672752,2016-09-19,80220,39.733819,-104.91657,<= $5000,professor,"Families, Low Density",15.015612982,12.6477851035,-3009383.31152,174.0,8.51719319142
50367,2016-07-06,20002,38.905026,-76.983607,<= $100,Not Listed,Wealthy Urbanites (Renters),15.1210006924,12.7552332648,-3343137.24619,156.0,3.21887582487
6486285,2016-04-08,89115,36.25364,-115.041052,<= $20,Not Listed,"Hispanic, non citizens, low income",10.732432306,10.1202938463,-20975.9304861,6906.0,1.60943791243
9102935,2015-07-16,93111,34.449185,-119.804782,<= $20,Not Listed,"Homeowners, Families",12.6133028616,12.6506178478,11426.1299615,20095.0,2.99573227355
803086,2015-07-31,15017,40.342274,-80.122354,<= $20,Not Listed,"Families, Low Density",12.0440124343,10.6179493306,-129216.264956,2713.0,2.7080502011
15345035,2015-11-19,60064,42.324027,-87.856704,<= $100,business,"Young Kids, Multi-racial, Low Density",14.2439914264,10.7076674209,-1490226.74269,324.0,3.68887945411
372871,2016-07-18,20001,38.910353,-77.017739,<= $20,Not Listed,Wealthy Urbanites (Renters),16.3013695042,12.4580801634,-11754111.8581,34.0,2.7080502011
3361204,2015-06-30,02467,42.314344,-71.152759,<= $1000,finance,"Homeowners, Families",16.4266632201,14.2395652803,-12086589.7848,32.0,5.52146091786
893476,2015-07-02,83716,43.546083,-115.944468,<= $100,medical,"Families, Low Density",12.5016112743,8.85508748236,-261760.038539,1588.0,3.91202300543
11787580,2016-09-06,79015,34.937472,-101.916036,<= $20,Not Listed,"Families, Low Density",11.3415557176,10.8827353598,-31001.9437814,5870.0,2.30258509299
13251265,2016-04-30,60544,41.614138,-88.218784,<= $100,Not Listed,"Suburban, White, Wealthy",11.9984825103,11.5016791898,-63626.3272211,4129.0,3.91202300543
6827285,2015-08-21,30339,33.87632,-84.46209,<= $100,business,"Families, Low Density",15.1702035648,13.1622707724,-3355213.80279,155.0,4.31748811354
15622648,2015-04-07,49017,42.401366,-85.215928,<= $100,retired,"Families, Low Density",11.0448080557,10.7211976116,-17311.8704894,7421.0,3.91202300543
16587192,2016-06-09,82644,42.840611,-106.36661,<= $100,retired,"White, Middle income Single Family",9.36288977044,8.90428254502,-4284.55962313,10530.0,4.00733318523
1818601,2016-01-27,93444,35.037198,-120.504593,<= $100,Not Listed,"Homeowners, Families",11.3996447785,10.9282071518,-33563.7186721,5655.0,3.55534806149
16694998,2015-10-24,11954,41.047565,-71.946386,<= $100,retired,"Homeowners, Families",10.7932494871,10.6031377487,-8430.03175466,9115.0,3.55534806149
12514414,2016-08-30,11365,40.739634,-73.79449,<= $20,Not Listed,"Homeowners, Families",11.6996124793,11.5176413677,-20052.2959905,7025.0,2.30258509299
8560682,2015-11-20,21209,39.373191,-76.670003,<= $20,Not Listed,"Families, Low Density",14.1278803649,12.2372844578,-1160319.19834,417.0,2.99573227355
13525694,2016-04-03,63104,38.611126,-90.214086,<= $100,Not Listed,"Families, Low Density",12.2380217925,12.3288763919,19639.5005167,21368.0,3.295836866
74986,2015-03-15,90630,33.818477,-118.038307,<= $100,Not Listed,"Homeowners, Families",12.6729463818,12.6129455488,-18577.364039,7234.0,3.21887582487
12765325,2015-04-28,95209,38.046863,-121.352802,<= $100,retired,"Homeowners, Families",11.0962578424,11.0710577766,-1640.53156343,11792.0,4.60517018599
9899939,2016-08-15,90404,34.026608,-118.473643,<= $100,Not Listed,"Homeowners, Families",13.464189826,11.8302494335,-566413.254642,828.0,3.61091791264
3102817,2016-05-31,95076,36.946256,-121.756479,<= $20,Not Listed,"Hispanic, non citizens, low income",13.8562138254,11.7369996363,-916426.618358,540.0,1.60943791243
10812743,2015-12-24,15239,40.483674,-79.738074,<= $20,business,"White, Middle income Single Family",12.1558103984,10.351870348,-158880.440926,2331.0,2.99573227355
771822,2015-11-30,43017,40.110681,-83.129038,<= $1000,Not Listed,"Suburban, White, Wealthy",15.0834072884,13.8133010922,-2555578.02672,196.0,5.29831736655
9911483,2015-06-30,23322,36.618712,-76.227046,<= $1000,Not Listed,"Suburban, White, Wealthy",13.0445272335,12.4841298256,-198445.659029,1967.0,5.13579843705
9326059,2016-03-10,95124,37.256765,-121.922762,<= $20,Not Listed,"Homeowners, Families",12.8486394354,12.8999732994,20030.5029146,21411.0,0.0
1409252,2016-04-20,22031,38.858916,-77.260258,<= $20,business,"Homeowners, Families",13.7628584461,12.7472057329,-605119.530027,785.0,1.38629436112
8018892,2015-07-17,78015,29.742957,-98.651509,<= $100,Not Listed,"Suburban, White, Wealthy",13.7842427762,11.840807277,-830413.508524,603.0,3.7135720667
2959529,2015-05-12,85718,32.333304,-110.916607,<= $1000,Not Listed,"Homeowners, Families",14.3844597963,13.6429021022,-924942.978076,533.0,5.52146091786
6417172,2015-12-10,48225,42.438984,-82.92961,<= $100,Not Listed,"Low Income, African American",11.1461280325,10.6871426378,-25505.7935549,6404.0,3.91202300543
1884930,2016-02-29,20852,39.051991,-77.121931,<= $100,Not Listed,Wealthy Urbanites (Renters),14.1742613458,13.5152975348,-690879.573971,699.0,3.68887945411
10443310,2016-05-23,78666,29.880162,-97.966164,<= $20,retired,"Families, Low Density",13.3429628954,11.8715284147,-480279.162058,964.0,2.30258509299
407003,2016-06-30,63005,38.644214,-90.651407,<= $100,Not Listed,"Suburban, White, Wealthy",14.0127158011,12.6297485463,-912480.713907,544.0,4.20469261939
2509817,2015-09-15,32817,28.591012,-81.243652,<= $20,Not Listed,"Young Kids, Multi-racial, Low Density",11.0735053555,11.4272358034,27346.9040161,22085.0,2.56494935746
9646647,2016-08-03,43147,39.897782,-82.744035,<= $20,technology,"Suburban, White, Wealthy",12.9140173014,11.9890323881,-244983.486896,1682.0,2.7080502011
11729425,2016-03-03,94945,38.134068,-122.52719,<= $100,technology,"Homeowners, Families",11.7395748636,12.9607498725,299945.979701,24153.0,3.91202300543
14702842,2015-04-15,28734,35.189081,-83.41226,<= $1000,business,"White, Middle income Single Family",11.5004276921,9.48418097349,-85607.9482431,3472.0,5.70378247466
5921391,2015-06-04,02026,42.246872,-71.179462,<= $100,Not Listed,"Suburban, White, Wealthy",13.6248027345,11.7488532148,-699765.716778,695.0,3.49650756147
10082692,2015-10-09,33634,28.009826,-82.547789,<= $20,medical,"Young Kids, Multi-racial, Low Density",12.678267622,10.8708995069,-268079.476688,1555.0,2.94443897917
1652334,2016-05-27,90631,33.942708,-117.952483,<= $20,Not Listed,"Hispanic, non citizens, low income",12.79749713,11.646679224,-247000.869583,1666.0,1.09861228867
15285954,2015-08-31,38556,36.406761,-84.918949,<= $100,Not Listed,"White, Middle income Single Family",9.98828815423,9.21529478701,-11720.3329156,8372.0,3.40119738166
9651505,2015-09-02,43026,40.02085,-83.194413,<= $1000,retired,"Families, Low Density",13.1216511238,11.8785139597,-355507.800742,1238.0,6.90775527898
12479056,2015-12-31,01240,42.367858,-73.269763,<= $20,Not Listed,"White, Middle income Single Family",11.7156295462,10.7765356409,-74587.0506339,3780.0,2.7080502011
2940658,2015-02-28,85255,33.668187,-111.822523,<= $1000,Not Listed,"Homeowners, Families",14.6650976532,13.6180526683,-1517866.29532,318.0,6.03068526026
9337562,2016-09-23,02635,41.624054,-70.439397,<= $100,retired,"Suburban, White, Wealthy",11.601357499,9.67866208444,-93272.8880505,3305.0,3.21887582487
10631385,2015-07-21,77584,29.545041,-95.350629,<= $20,Not Listed,"White, Middle income Single Family",13.3503941667,12.542031715,-348205.64993,1259.0,1.60943791243
4946141,2016-06-23,80401,39.718726,-105.236031,<= $20,legal,"Families, Low Density",13.9196966843,12.8909278013,-713110.09632,690.0,2.7080502011
11601291,2016-03-18,75068,33.177062,-96.950292,<= $1000,business,"Suburban, White, Wealthy",11.3620328054,11.0254380382,-24577.2401731,6492.0,4.73619844839
16211666,2016-01-15,01223,42.312225,-73.110124,<= $100,Not Listed,"White, Middle income Single Family",11.3597509752,8.54713197459,-80646.0427263,3597.0,3.91202300543
9837498,2015-12-11,33411,26.720012,-80.193151,<= $20,Not Listed,"Homeowners, Families",12.3472336088,11.9356527945,-77710.1888051,3674.0,2.99573227355
8730077,2016-05-31,02474,42.420949,-71.15637,<= $100,Not Listed,"Families, Low Density",13.1063173253,12.8789374126,-100072.243563,3173.0,3.295836866
8210456,2015-11-20,43015,40.297786,-83.060181,<= $100,outdoors,"White, Middle income Single Family",14.0516635188,11.9573629102,-1110406.74185,432.0,4.60517018599
4018450,2015-10-23,80304,40.045421,-105.291263,<= $100,Not Listed,"Families, Low Density",13.9458649091,13.8513815304,-102709.902041,3128.0,4.60517018599
5361064,2015-12-27,10003,40.731829,-73.989181,<= $20,legal,Wealthy Urbanites (Renters),15.553171398,14.0798656041,-4381441.40607,110.0,2.99573227355
