,Zipcode,Cluster8Assignment
0,00601,2
1,00602,2
2,00603,2
3,00606,2
4,00610,2
5,00612,2
6,00617,2
7,00622,2
8,00623,2
9,00624,2
10,00627,2
11,00637,2
12,00641,2
13,00646,2
14,00650,2
15,00653,2
16,00659,2
17,00660,2
18,00662,2
19,00664,2
20,00667,2
21,00669,2
22,00674,2
23,00676,2
24,00677,2
25,00678,2
26,00680,2
27,00682,2
28,00683,2
29,00685,2
30,00687,2
31,00690,2
32,00692,2
33,00693,2
34,00698,2
35,00703,2
36,00705,2
37,00707,2
38,00714,2
39,00715,2
40,00716,2
41,00717,2
42,00718,2
43,00719,2
44,00720,2
45,00725,2
46,00727,2
47,00728,2
48,00729,2
49,00730,2
50,00731,2
51,00735,2
52,00736,2
53,00738,2
54,00740,2
55,00745,2
56,00751,2
57,00754,2
58,00757,2
59,00765,2
60,00767,2
61,00769,2
62,00771,2
63,00773,2
64,00777,2
65,00778,2
66,00780,2
67,00783,2
68,00784,2
69,00791,2
70,00794,2
71,00795,2
72,00901,6
73,00907,2
74,00909,2
75,00911,2
76,00912,2
77,00913,2
78,00915,2
79,00917,2
80,00918,6
81,00920,2
82,00921,2
83,00923,2
84,00924,2
85,00925,2
86,00926,2
87,00927,2
88,00949,2
89,00952,2
90,00953,2
91,00956,2
92,00957,2
93,00959,2
94,00961,2
95,00965,2
96,00966,2
97,00968,2
98,00969,2
99,00971,2
100,00976,2
101,00979,2
102,00983,2
103,00985,2
104,00987,2
105,01001,6
106,01002,5
107,01004,5
108,01005,7
109,01007,7
110,01010,6
111,01012,7
112,01013,5
113,01014,5
114,01020,5
115,01021,6
116,01022,5
117,01027,6
118,01028,7
119,01029,6
120,01030,6
121,01031,6
122,01032,7
123,01033,6
124,01034,7
125,01035,6
126,01036,7
127,01038,6
128,01040,5
129,01050,6
130,01053,7
131,01054,7
132,01056,6
133,01057,7
134,01060,5
135,01062,7
136,01068,6
137,01069,6
138,01073,7
139,01075,5
140,01077,7
141,01079,6
142,01080,5
143,01081,7
144,01082,5
145,01085,5
146,01089,5
147,01090,5
148,01093,5
149,01095,7
150,01098,7
151,01101,3
152,01103,3
153,01104,5
154,01105,3
155,01106,7
156,01107,2
157,01108,5
158,01109,3
159,01118,6
160,01119,3
161,01128,6
162,01129,5
163,01151,5
164,01201,5
165,01202,3
166,01220,6
167,01223,6
168,01224,6
169,01225,6
170,01227,6
171,01230,7
172,01235,7
173,01240,6
174,01247,5
175,01254,7
176,01256,6
177,01257,7
178,01258,8
179,01259,7
180,01260,6
181,01262,7
182,01264,8
183,01266,7
184,01267,6
185,01270,6
186,01301,5
187,01302,5
188,01331,6
189,01337,6
190,01338,6
191,01341,7
192,01342,6
193,01344,6
194,01346,6
195,01347,6
196,01360,7
197,01364,5
198,01366,7
199,01368,6
200,01376,5
201,01420,5
202,01430,7
203,01431,7
204,01432,5
205,01440,5
206,01450,7
207,01451,8
208,01452,6
209,01453,5
210,01460,7
211,01462,7
212,01463,7
213,01464,7
214,01468,6
215,01469,6
216,01473,7
217,01474,6
218,01475,6
219,01501,6
220,01503,7
221,01504,6
222,01505,7
223,01506,6
224,01507,7
225,01510,5
226,01515,7
227,01516,6
228,01518,6
229,01519,7
230,01520,7
231,01522,7
232,01523,7
233,01524,6
234,01527,6
235,01529,6
236,01532,7
237,01534,7
238,01535,6
239,01536,7
240,01537,6
241,01540,6
242,01541,7
243,01543,7
244,01545,7
245,01550,5
246,01560,7
247,01562,5
248,01564,7
249,01566,7
250,01568,7
251,01569,7
252,01570,5
253,01571,6
254,01581,7
255,01583,7
256,01585,6
257,01588,5
258,01590,7
259,01601,4
260,01602,5
261,01603,5
262,01604,5
263,01605,5
264,01606,5
265,01607,5
266,01608,5
267,01609,5
268,01610,5
269,01611,6
270,01612,7
271,01701,7
272,01702,4
273,01703,8
274,01704,8
275,01718,8
276,01719,7
277,01720,7
278,01721,7
279,01730,8
280,01731,5
281,01740,7
282,01741,8
283,01742,8
284,01745,7
285,01746,7
286,01747,7
287,01748,7
288,01749,7
289,01752,7
290,01754,7
291,01756,7
292,01757,7
293,01760,7
294,01770,8
295,01772,8
296,01773,8
297,01775,7
298,01776,8
299,01778,8
300,01801,7
301,01803,7
302,01810,8
303,01821,7
304,01824,7
305,01826,5
306,01827,7
307,01830,5
308,01832,5
309,01833,7
310,01834,7
311,01835,7
312,01840,2
313,01841,2
314,01842,3
315,01843,2
316,01844,5
317,01845,7
318,01850,5
319,01851,5
320,01852,5
321,01853,4
322,01854,5
323,01860,6
324,01862,7
325,01863,7
326,01864,7
327,01865,8
328,01867,7
329,01876,7
330,01879,7
331,01880,7
332,01886,7
333,01887,7
334,01888,8
335,01890,8
336,01901,3
337,01902,5
338,01903,3
339,01904,5
340,01905,5
341,01906,7
342,01907,7
343,01908,7
344,01913,7
345,01915,7
346,01921,8
347,01922,7
348,01923,7
349,01929,7
350,01930,7
351,01936,8
352,01938,7
353,01940,7
354,01944,8
355,01945,8
356,01949,7
357,01950,7
358,01952,6
359,01960,7
360,01961,8
361,01965,7
362,01966,7
363,01969,7
364,01970,5
365,01982,7
366,01983,7
367,01984,7
368,01985,7
369,02018,8
370,02019,7
371,02021,7
372,02025,8
373,02026,7
374,02027,8
375,02030,8
376,02032,7
377,02035,7
378,02038,7
379,02041,7
380,02043,8
381,02045,7
382,02047,7
383,02048,7
384,02050,7
385,02051,7
386,02052,7
387,02053,7
388,02054,7
389,02056,7
390,02060,7
391,02061,7
392,02062,7
393,02066,7
394,02067,7
395,02071,7
396,02072,7
397,02081,7
398,02090,8
399,02093,7
400,02108,4
401,02109,4
402,02111,4
403,02112,4
404,02113,4
405,02114,4
406,02115,5
407,02116,6
408,02117,4
409,02118,4
410,02119,3
411,02120,4
412,02121,3
413,02122,4
414,02123,4
415,02124,3
416,02125,4
417,02126,3
418,02127,6
419,02128,6
420,02129,4
421,02130,4
422,02131,4
423,02132,5
424,02134,6
425,02135,4
426,02136,6
427,02137,5
428,02138,4
429,02139,4
430,02140,4
431,02141,4
432,02142,4
433,02143,4
434,02144,4
435,02145,4
436,02148,4
437,02149,4
438,02150,2
439,02151,4
440,02152,5
441,02155,5
442,02163,5
443,02169,5
444,02170,5
445,02171,5
446,02176,5
447,02180,7
448,02184,7
449,02185,7
450,02186,7
451,02188,7
452,02189,7
453,02190,7
454,02191,7
455,02196,4
456,02210,4
457,02215,5
458,02238,4
459,02269,4
460,02301,5
461,02302,3
462,02303,5
463,02304,5
464,02322,7
465,02324,6
466,02327,7
467,02330,6
468,02331,8
469,02332,7
470,02333,7
471,02338,6
472,02339,7
473,02341,7
474,02343,7
475,02345,7
476,02346,7
477,02347,7
478,02351,7
479,02356,8
480,02359,7
481,02360,7
482,02361,5
483,02362,6
484,02364,7
485,02367,7
486,02368,3
487,02370,7
488,02375,8
489,02379,7
490,02382,7
491,02420,8
492,02421,8
493,02445,4
494,02446,4
495,02447,4
496,02451,8
497,02452,8
498,02453,4
499,02454,4
500,02455,8
501,02458,8
502,02459,8
503,02460,8
504,02461,8
505,02462,8
506,02464,8
507,02465,8
508,02466,8
509,02467,8
510,02468,8
511,02471,5
512,02472,5
513,02474,5
514,02476,5
515,02478,8
516,02481,8
517,02482,8
518,02492,8
519,02493,8
520,02494,8
521,02532,6
522,02534,6
523,02535,8
524,02536,6
525,02537,7
526,02538,6
527,02539,8
528,02540,7
529,02541,8
530,02542,5
531,02554,8
532,02556,8
533,02557,8
534,02562,7
535,02563,7
536,02568,8
537,02571,6
538,02574,7
539,02576,6
540,02584,8
541,02601,5
542,02631,6
543,02632,7
544,02635,7
545,02637,7
546,02638,8
547,02639,6
548,02642,8
549,02644,7
550,02645,6
551,02647,8
552,02648,7
553,02649,6
554,02650,8
555,02653,8
556,02655,8
557,02657,8
558,02659,8
559,02660,6
560,02661,8
561,02662,8
562,02664,6
563,02666,8
564,02667,8
565,02670,8
566,02671,6
567,02673,6
568,02675,8
569,02702,7
570,02703,5
571,02712,7
572,02717,6
573,02718,7
574,02719,6
575,02720,5
576,02721,5
577,02723,5
578,02724,5
579,02725,6
580,02726,6
581,02738,7
582,02739,7
583,02740,5
584,02741,3
585,02743,6
586,02744,5
587,02745,5
588,02746,5
589,02747,5
590,02748,7
591,02760,5
592,02761,7
593,02762,7
594,02763,7
595,02764,7
596,02766,7
597,02767,7
598,02769,7
599,02770,7
600,02771,7
601,02777,7
602,02779,7
603,02780,5
604,02790,7
605,02804,6
606,02806,7
607,02808,7
608,02809,7
609,02812,6
610,02813,7
611,02814,7
612,02815,7
613,02816,6
614,02817,6
615,02818,7
616,02825,7
617,02827,7
618,02828,7
619,02831,6
620,02835,7
621,02837,8
622,02838,5
623,02840,5
624,02842,5
625,02852,7
626,02859,7
627,02860,5
628,02861,5
629,02862,3
